asv,SRR9953697,SRR9953699,SRR9953702,SRR9953704,SRR9953706,SRR9953712,SRR9953718,SRR9953720,SRR9953722,SRR9953724,SRR9953726,SRR9953736,SRR9953741,SRR9953745,SRR9953750,SRR9953751,SRR9953756,SRR9953758,SRR9953760,SRR9953762,SRR9953765,SRR9953769,SRR9953775,SRR9953777,SRR9953779,SRR9953793,SRR9953795,SRR9953804,SRR9953806,SRR9953808,SRR9953816,SRR9953819,SRR9953821,SRR9953825,SRR9953836,SRR9953838,SRR9953840,SRR9953842,SRR9953844,SRR9953846,SRR9953848,SRR9953857,SRR9953859,SRR9953864,SRR9953874,SRR9953876,SRR9953879,SRR9953881,SRR9953883,SRR9953891,SRR9953893,SRR9953895,SRR9953897,SRR9953908,SRR9953910,SRR9953912,SRR9953919,SRR9953921,SRR9953924,SRR9953926,SRR9953928,SRR9953930,SRR9953932,SRR9953934,SRR9953936,SRR9953938,SRR9953943,SRR9953947,SRR9953949,SRR9953951,SRR9953953,SRR9953955,SRR9953957,SRR9953959,SRR9953961,SRR9953963,SRR9953965,SRR9953967,SRR9953969,SRR9953971,SRR9953973,SRR9953975,SRR9953976,SRR9953978,SRR9953980,SRR9953982,SRR9953984,SRR9953986,SRR9953987,SRR9953989,SRR9953991,SRR9953993,SRR9953995,SRR9953998,SRR9953999,SRR9954001,SRR9954003,SRR9954005,SRR9954007,SRR9954009,SRR9954015,SRR9954017,SRR9954019,SRR9954022,SRR9954027,SRR9954036,SRR9954039,SRR9954047,SRR9954049,SRR9954050,SRR9954054,SRR9954056,SRR9954058,SRR9954060,SRR9954066,SRR9954068,SRR9954070,SRR9954072,SRR9954074,SRR9954085,SRR9954087,SRR9953691,SRR9953696,SRR9953700,SRR9953705,SRR9953709,SRR9953711,SRR9953717,SRR9953728,SRR9953730,SRR9953732,SRR9953734,SRR9953739,SRR9953746,SRR9953748,SRR9953752,SRR9953754,SRR9953766,SRR9953771,SRR9953773,SRR9953781,SRR9953783,SRR9953785,SRR9953787,SRR9953789,SRR9953791,SRR9953797,SRR9953799,SRR9953801,SRR9953803,SRR9953810,SRR9953812,SRR9953826,SRR9953828,SRR9953830,SRR9953832,SRR9953834,SRR9953850,SRR9953852,SRR9953854,SRR9953855,SRR9953861,SRR9953865,SRR9953867,SRR9953870,SRR9953872,SRR9953884,SRR9953886,SRR9953889,SRR9953899,SRR9953901,SRR9953903,SRR9953905,SRR9953915,SRR9953917,SRR9953922,SRR9953940,SRR9953945,SRR9954013,SRR9954024,SRR9954026,SRR9954030,SRR9954032,SRR9954034,SRR9954038,SRR9954040,SRR9954045,SRR9954052,SRR9954062,SRR9954064,SRR9954075,SRR9954077,SRR9954079,SRR9954081,SRR9954083,SRR9954091,SRR9954093,SRR9954094,SRR9954097,SRR9954099,SRR9954101,SRR9954103,SRR9954105,SRR9954107,SRR9954109,SRR9954111,SRR9954113,SRR9954115,SRR9954117,SRR9954119,SRR7134368,SRR7134372,SRR7133912,SRR7133914,SRR7133915,SRR7133916,SRR7133918,SRR7133919,SRR7133904,SRR7133905,SRR7134081,SRR7134005,SRR7134004,SRR7134010,SRR7134009,SRR7134111,SRR7134112,SRR7134109,SRR7134115,SRR7134116,SRR7134113,SRR7134114,SRR7134103,SRR7134104,SRR7134260,SRR7134259,SRR7134262,SRR7134264,SRR7134263,SRR7134266,SRR7134265,SRR7134256,SRR7134255,SRR7134048,SRR7134046,SRR7134045,SRR7134052,SRR7134051,SRR7134050,SRR7134049,SRR7134044,SRR7134043,SRR7133885,SRR7133886,SRR7133887,SRR7133888,SRR7134026,SRR7134027,SRR7134028,SRR7134021,SRR7134022,SRR7134023,SRR7134024,SRR7134029,SRR7134030,SRR7133872,SRR7133876,SRR7133998,SRR7133848,SRR7133849,SRR7133850,SRR7133851,SRR7133844,SRR7133845,SRR7133846,SRR7133842,SRR7134015,SRR7134014,SRR7134013,SRR7134020,SRR7134019,SRR7134018,SRR7134017,SRR7134012,SRR7134399,SRR7134400,SRR7134395,SRR7134394,SRR7133921,SRR7133920,SRR7133906,SRR7133903,SRR7134145,SRR7134119,SRR7134118,SRR7134105,SRR7134352,SRR7134074,SRR7134085,SRR7134298,SRR7134297,SRR7134102,SRR7134108,SRR7134299,SRR7134311,SRR7134310,SRR7133938,SRR7133939,SRR7133940,SRR7133941,SRR7133934,SRR7133936,SRR7133942,SRR7133943,SRR7134329,SRR7134328,SRR7133907,SRR7134330,SRR7133909,SRR7133908,SRR7133910,SRR7134314,SRR7134315,SRR7134312,SRR7134313,SRR7134318,SRR7134319,SRR7133944,SRR7133945,SRR7133959,SRR7134134,SRR7134133,SRR7134162,SRR7134161,SRR7134160,SRR7134159,SRR7134158,SRR7134157,SRR7134148,SRR7133968_Glucose_goldford_X1_4.0,SRR7134016_Glucose_goldford_X7_4.0,SRR7134398_Glucose_goldford_X2_1.0,SRR7134401_Glucose_goldford_X8_4.0,SRR7134120_Glucose_goldford_X3_4.0,SRR7134117_Glucose_goldford_X9_4.0,SRR7134107_Glucose_goldford_X4_4.0,SRR7134106_Glucose_goldford_X10_4.0,SRR7133937_Glucose_goldford_X5_4.0,SRR7134351_Glucose_goldford_X6_1.0,SRR7134353_Glucose_goldford_X12_4.0
d007cee006889a1090c2d5bfb35a1953,1361,2534,4286,5148,3378,132,5849,1700,991,1347,1265,0,0,0,5253,0,1455,1670,525,488,252,0,0,67,0,375,6242,3250,2550,2874,922,0,0,0,0,0,0,0,2742,901,2637,1771,1448,136,0,1372,0,0,115,3792,2288,3704,5031,3010,3793,2097,38,56,293,0,0,0,0,0,0,0,0,0,0,0,0,0,2195,1796,1126,1232,1163,138,137,63,33,56,0,6376,7563,10515,4863,4527,5766,4059,3205,4039,4244,817,1445,4016,2052,6443,3018,0,28,0,0,0,38,0,4552,1428,5142,0,829,1033,882,655,84,0,0,0,0,8338,720,1589,1228,4376,4469,1079,5633,3256,23,0,0,0,0,6291,6335,8340,396,0,0,0,82,0,399,533,489,569,8400,6458,3511,9741,2518,3075,4648,3247,3284,3025,4559,3942,4206,5056,919,62,75,126,234,410,3447,3233,4641,4621,4431,4974,4049,26,38,165,0,0,120,0,0,0,0,0,0,0,1452,1204,687,369,1086,4963,5567,8479,10629,871,4025,5488,404,375,536,210,343,470,421,4210,3919,3180,3536,2347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38c27ceaed634984c1225a82648cf571,0,356,4011,8312,3628,813,8188,9392,7926,11920,9937,7882,0,0,5266,0,703,2483,1985,763,14622,0,7,111,331,1708,1204,2689,1023,1619,5,1038,790,589,0,0,0,0,0,0,26,0,2,187,115,13145,5699,2893,1946,1331,829,1468,6927,0,6,3,3019,3404,1703,1200,1688,398,1297,8515,6102,10214,0,10,0,6,850,1604,8,0,0,0,0,11709,8114,11070,6194,8569,0,1497,1600,2047,1121,863,471,385,465,818,1169,9705,0,0,0,2678,0,6,1733,3971,6367,728,3089,5893,5278,1285,1163,0,0,0,0,0,2370,1740,1588,2041,470,1569,5,1635,2558,4959,3510,194,318,0,7151,9085,4447,5906,0,3113,1845,6233,387,0,0,177,110,74,1588,2333,1479,1360,2251,1780,972,1847,1370,2167,6641,0,0,8,15,190,410,1866,0,10339,8741,12916,10172,8644,2198,1656,2620,6372,6207,8815,1575,3241,1503,1851,171,12,3857,795,1035,4725,7434,5138,5898,0,361,0,0,13,0,809,808,1414,1566,153,385,2176,399,200,5,0,6,0,0,0,85,0,0,0,0,0,0,0,0,6856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,2305,0,0,0,0,0,0,0,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,2860,0,0,0,0,0,0,0,105,14082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d32e579b3ae7b2aae8d5bf9f027c29af,413,510,638,765,453,3141,0,0,0,0,92,142,0,0,1144,0,65,1031,4759,3935,0,0,0,4876,3832,7277,0,565,444,350,0,252,510,227,0,0,0,0,399,0,99,25,0,1850,1140,0,296,115,211,414,246,666,1329,1344,2131,869,7323,12047,10971,7459,6983,3548,88,91,53,175,23,0,0,0,3849,7909,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,690,441,332,468,735,0,403,425,323,983,349,0,10051,4518,5469,5152,6658,353,1447,0,24,0,0,0,0,0,4089,5188,3313,3746,3692,0,0,0,0,307,0,0,0,922,997,265,457,0,0,809,890,1390,0,13,0,4535,3654,3236,6833,8390,3833,6076,0,0,0,0,381,627,816,722,1290,773,1250,455,471,1007,0,0,0,0,0,0,0,0,713,1107,1609,1690,772,8440,650,8435,302,0,6583,5502,4898,707,319,233,253,0,575,518,0,689,0,0,0,0,0,333,109,1297,575,727,0,0,0,0,186,455,676,654,1048,443,0,0,0,0,303,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,46,0,0,0,82,0,0,0,0,0,0,919,0,0,0,0,0,0,0,0,3671,0,0,0,0,0,0,0,0,6005,61,0,0,0,0,0,0,31,5259,0,0,0,0,0,0,0,0,1941,0,30,0,0,0,0,36,0,935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ca8c1cfd11ff0a6977f6772630a85de3,1818,3010,0,0,0,2847,0,0,0,0,0,0,0,0,0,0,6343,5191,2169,1818,0,0,0,0,23,4088,0,448,2749,2571,0,0,0,0,0,0,0,0,3506,0,0,0,0,1431,950,0,0,0,0,184,197,554,0,2764,2855,2214,0,0,5630,3890,4465,1831,0,0,0,0,0,0,0,0,4254,5017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4825,1789,1145,1319,1604,0,2499,4676,2624,0,3499,0,0,0,0,5685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4105,0,0,0,0,0,0,0,0,1054,77,0,0,777,89,2595,4031,1601,2025,0,0,0,0,2403,1343,0,3929,4062,3620,4060,0,0,0,0,0,0,0,0,0,0,0,312,0,0,0,1120,0,0,4707,0,0,0,4070,3480,0,0,0,0,0,2333,3286,0,0,0,0,0,0,0,1181,505,0,2074,4578,0,0,0,0,4152,5896,5387,4999,5305,3434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20b3df08cd5fac2be26a2928155bab69,22,113,10,40,22,2199,1457,869,1055,1788,1701,0,0,0,71,0,54,651,1702,521,2117,0,11,246,88,347,0,64,33,35,107,108,307,54,0,0,0,0,67,8,9,3578,3383,290,183,1434,0,13,25,101,61,114,48,216,131,29,66,107,709,1002,719,464,48,42,16,36,0,14,0,8,1578,1331,5716,5034,2087,2839,3910,3736,1322,948,422,847,13,0,0,0,0,0,202,98,97,110,178,1011,64,105,48,105,73,12,138,39,58,2142,34,21,81,0,0,0,3160,3549,3683,2623,77,133,98,72,86,0,3419,0,0,17,342,38,162,39,7,0,7,0,0,98,97,111,0,0,0,105,251,159,348,306,406,316,0,0,0,0,49,59,40,23,39,38,41,14,19,21,2566,563,982,615,1537,1342,0,0,124,55,53,75,143,64,64,491,174,0,21,1600,1561,8,14,18,26,0,120,345,4114,2789,3124,0,0,0,0,5,0,107,0,0,2288,338,3073,2309,110,122,140,58,66,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,72,0,0,0,0,1281,0,37
a8f4dc7d191848709966aa2ab1b26d3a,0,0,0,84,53,0,142,175,74,357,461,0,0,0,54,0,0,0,0,0,88,0,0,0,0,0,0,34,0,0,1208,0,39,9,0,0,0,0,0,22,0,7213,6318,0,0,381,0,0,14,63,36,76,128,51,112,58,0,0,0,0,0,0,25,56,25,74,0,0,0,0,0,0,11961,9852,4210,5907,7350,94,64,27,22,28,0,0,0,0,0,0,32,22,29,51,87,160,0,0,0,17,0,0,0,0,0,0,0,144,52,0,0,0,6453,7031,6812,4815,0,0,0,0,0,0,8688,0,0,40,0,0,0,0,493,84,141,0,0,31,29,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,189,0,0,0,267,0,0,0,6334,46,50,56,97,123,0,0,98,149,86,107,100,0,0,0,30,0,0,0,0,389,163,127,98,0,0,0,7716,5241,6092,0,0,0,0,0,20,32,0,0,6060,592,3198,5497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90d281aaf588bad4be3327bfc03d6249,0,0,0,11,0,0,0,0,0,0,0,0,2853,4391,0,5395,187,414,165,0,0,7491,10375,0,0,0,0,20,0,0,32,0,0,0,6130,7530,5287,8205,8,0,7,0,0,0,0,0,0,0,0,0,0,0,7,103,54,19,0,12,17,0,0,0,0,0,0,0,4940,8957,8186,8714,0,16,17,32,0,0,0,7,7,0,0,0,5795,10,0,0,0,0,15,0,0,9,0,0,183,11,0,0,10,4224,0,0,0,0,0,0,0,0,0,1020,4,0,0,7,0,13,0,0,0,0,12,0,0,8,0,0,0,21,0,0,0,0,4905,0,26,0,43,5590,7318,0,0,0,0,0,0,0,0,9,0,0,15,16,0,0,21,16,12,0,0,0,11,0,8,0,0,0,0,0,22,10,0,7,13,0,0,0,0,9660,0,0,0,0,0,0,0,1604,0,227,7,0,0,0,30,0,0,0,12,0,0,0,0,41,29,20,154,10,37,21,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b98b00b0fc819488d76aa0c09d57bcc,1000,775,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,10,0,0,0,0,0,359,188,0,0,1685,2696,2407,0,0,0,9,5,0,0,0,1470,0,0,0,0,20,36,0,0,0,0,1542,737,1152,0,2767,2843,1126,330,404,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1286,751,625,884,1148,0,1430,1987,1166,0,1489,0,526,133,235,0,173,0,0,0,9,0,13,0,0,0,166,356,189,153,105,13,0,0,0,0,0,0,8,2096,0,0,0,0,0,0,0,0,0,34,0,147,128,197,5,0,5,0,0,0,0,0,2117,2091,0,1764,2706,1910,2810,0,0,0,0,0,0,0,5,0,0,0,2457,0,5,0,1276,275,358,8,0,13,218,0,0,0,0,0,0,0,612,2176,0,61,0,0,8,14,0,2893,652,0,2562,1032,0,0,0,0,1081,2076,2404,2097,2061,1515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f36c50279a8fa1c121cb9dda1ab1cb42,279,1349,560,718,640,0,185,271,185,202,176,0,0,0,1385,0,0,0,0,0,222,0,0,409,243,0,840,1348,1094,880,0,0,0,0,0,0,0,0,1370,0,0,0,0,171,545,112,0,0,0,2194,1044,1296,1003,714,814,391,28,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,851,138,124,60,65,0,759,1199,1141,560,571,2512,1730,1213,1480,2447,139,1276,1770,922,1271,1235,0,216,172,464,0,42,0,1324,227,1103,0,0,0,0,0,776,1271,450,258,154,1253,0,287,452,580,573,0,65,960,0,0,0,0,0,1630,1518,1990,0,22,0,150,340,202,0,0,0,0,814,565,341,968,932,1545,1213,494,1049,604,815,0,107,422,0,102,141,124,165,222,569,456,2945,1162,987,1116,1710,44,54,0,0,19,53,0,0,0,0,0,0,0,1309,571,0,70,0,601,817,859,1339,805,0,1192,428,12,0,0,0,0,165,1853,1447,1320,1207,1087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16da9716b4d7c3c9c904f3f799d67dfe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1494,364,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,149,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2587,0,0,0,0,0,0,0,0,1887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090,0,0,0,0,0,0,0
