Sample,study,media,source,days
SRR7134368,goldford,Glucose,goldford_X2,24
SRR7134372,goldford,Glucose,goldford_X6,24
SRR7133912,goldford,Glucose,goldford_X1,24
SRR7133914,goldford,Glucose,goldford_X3,24
SRR7133915,goldford,Glucose,goldford_X4,24
SRR7133916,goldford,Glucose,goldford_X5,24
SRR7133918,goldford,Glucose,goldford_X7,24
SRR7133919,goldford,Glucose,goldford_X8,24
SRR7133904,goldford,Glucose,goldford_X9,24
SRR7133905,goldford,Glucose,goldford_X10,24
SRR7134081,goldford,Glucose,goldford_X12,24
SRR7134005,goldford,Glucose,goldford_X1,18
SRR7134004,goldford,Glucose,goldford_X3,18
SRR7134010,goldford,Glucose,goldford_X4,18
SRR7134009,goldford,Glucose,goldford_X7,18
SRR7134111,goldford,Glucose,goldford_X8,18
SRR7134112,goldford,Glucose,goldford_X9,18
SRR7134109,goldford,Glucose,goldford_X10,18
SRR7134115,goldford,Glucose,goldford_X12,18
SRR7134116,goldford,Glucose,goldford_X1,20
SRR7134113,goldford,Glucose,goldford_X3,20
SRR7134114,goldford,Glucose,goldford_X4,20
SRR7134103,goldford,Glucose,goldford_X5,20
SRR7134104,goldford,Glucose,goldford_X7,20
SRR7134260,goldford,Glucose,goldford_X8,20
SRR7134259,goldford,Glucose,goldford_X9,20
SRR7134262,goldford,Glucose,goldford_X10,20
SRR7134264,goldford,Glucose,goldford_X12,20
SRR7134263,goldford,Glucose,goldford_X1,22
SRR7134266,goldford,Glucose,goldford_X3,22
SRR7134265,goldford,Glucose,goldford_X5,22
SRR7134256,goldford,Glucose,goldford_X7,22
SRR7134255,goldford,Glucose,goldford_X8,22
SRR7134048,goldford,Glucose,goldford_X10,22
SRR7134046,goldford,Glucose,goldford_X12,22
SRR7134045,goldford,Glucose,goldford_X2,2
SRR7134052,goldford,Glucose,goldford_X2,4
SRR7134051,goldford,Glucose,goldford_X2,6
SRR7134050,goldford,Glucose,goldford_X2,8
SRR7134049,goldford,Glucose,goldford_X2,10
