Sample,source,community,days,filtered
SRR9953690,bittleston_M01,bittleston_M01_filtered,6,filtered
SRR9953692,bittleston_M04,bittleston_M04_filtered,24,filtered
SRR9953695,bittleston_M01,bittleston_M01_filtered,12,filtered
SRR9953697,bittleston_M10,bittleston_M10_unfiltered,18,unfiltered
SRR9953699,bittleston_M08,bittleston_M08_unfiltered,60,unfiltered
SRR9953702,bittleston_M07,bittleston_M07_unfiltered,18,unfiltered
SRR9953704,bittleston_M07,bittleston_M07_unfiltered,27,unfiltered
SRR9953706,bittleston_M07,bittleston_M07_unfiltered,24,unfiltered
SRR9953708,bittleston_M05,bittleston_M05_filtered,6,filtered
SRR9953710,bittleston_M05,bittleston_M05_filtered,9,filtered
SRR9953712,bittleston_M04,bittleston_M04_unfiltered,63,unfiltered
SRR9953713,bittleston_M04,bittleston_M04_filtered,63,filtered
SRR9953716,bittleston_M10,bittleston_M10_filtered,18,filtered
SRR9953718,bittleston_M05,bittleston_M05_unfiltered,12,unfiltered
SRR9953720,bittleston_M05,bittleston_M05_unfiltered,15,unfiltered
SRR9953722,bittleston_M05,bittleston_M05_unfiltered,18,unfiltered
SRR9953724,bittleston_M05,bittleston_M05_unfiltered,21,unfiltered
SRR9953726,bittleston_M05,bittleston_M05_unfiltered,24,unfiltered
SRR9953727,bittleston_M05,bittleston_M05_filtered,27,filtered
SRR9953729,bittleston_M02,bittleston_M02_filtered,24,filtered
SRR9953731,bittleston_M02,bittleston_M02_filtered,18,filtered
SRR9953733,bittleston_M02,bittleston_M02_filtered,21,filtered
SRR9953735,bittleston_M02,bittleston_M02_filtered,12,filtered
SRR9953736,bittleston_M02,bittleston_M02_unfiltered,15,unfiltered
SRR9953737,bittleston_M02,bittleston_M02_filtered,15,filtered
SRR9953738,bittleston_M09,bittleston_M09_filtered,18,filtered
SRR9953741,bittleston_M09,bittleston_M09_unfiltered,18,unfiltered
SRR9953742,bittleston_M09,bittleston_M09_filtered,12,filtered
SRR9953743,bittleston_M07,bittleston_M07_filtered,63,filtered
SRR9953745,bittleston_M09,bittleston_M09_unfiltered,12,unfiltered
SRR9953747,bittleston_M07,bittleston_M07_filtered,57,filtered
SRR9953749,bittleston_M07,bittleston_M07_filtered,60,filtered
SRR9953750,bittleston_M07,bittleston_M07_unfiltered,48,unfiltered
SRR9953751,bittleston_M09,bittleston_M09_unfiltered,21,unfiltered
SRR9953756,bittleston_M04,bittleston_M04_unfiltered,6,unfiltered
SRR9953758,bittleston_M04,bittleston_M04_unfiltered,9,unfiltered
SRR9953760,bittleston_M04,bittleston_M04_unfiltered,12,unfiltered
SRR9953762,bittleston_M04,bittleston_M04_unfiltered,15,unfiltered
SRR9953763,bittleston_M04,bittleston_M04_filtered,15,filtered
SRR9953765,bittleston_M05,bittleston_M05_unfiltered,39,unfiltered
SRR9953767,bittleston_M06,bittleston_M06_filtered,21,filtered
SRR9953769,bittleston_M09,bittleston_M09_unfiltered,57,unfiltered
SRR9953770,bittleston_M09,bittleston_M09_filtered,60,filtered
SRR9953775,bittleston_M09,bittleston_M09_unfiltered,60,unfiltered
SRR9953777,bittleston_M06,bittleston_M06_unfiltered,15,unfiltered
SRR9953779,bittleston_M06,bittleston_M06_unfiltered,18,unfiltered
SRR9953782,bittleston_M06,bittleston_M06_filtered,9,filtered
SRR9953784,bittleston_M06,bittleston_M06_filtered,12,filtered
SRR9953786,bittleston_M04,bittleston_M04_filtered,27,filtered
SRR9953790,bittleston_M04,bittleston_M04_filtered,21,filtered
SRR9953792,bittleston_M04,bittleston_M04_filtered,30,filtered
SRR9953793,bittleston_M04,bittleston_M04_unfiltered,30,unfiltered
SRR9953795,bittleston_M01,bittleston_M01_unfiltered,15,unfiltered
SRR9953798,bittleston_M01,bittleston_M01_filtered,24,filtered
